Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 136.777 NA 208 469 0 NA NA NA NA 319 561 0 NA NA NA NA 7306 17384 596 NA NA NA NA 2302 5334 605 NA NA NA
1491944400.0 136.779 NA 211 458 0 NA NA NA NA 307 555 0 NA NA NA NA 7293 16033 539 NA NA NA NA 3395 7556 574 NA NA NA
1491944400.0 1360.0 95 209 512 0 NA NA NA 207 475 603 0 NA NA NA 4011 646 1137 960 NA NA NA 3363 421 1191 2615 NA NA NA
1491944400.0 1361.0 88 210 488 0 NA NA NA 197 461 603 0 NA NA NA 3976 504 961 919 NA NA NA 2351 315 1231 930 NA NA NA
1491944400.0 1362.0 89 209 508 0 NA NA NA 202 467 607 0 NA NA NA 5372 547 971 929 NA NA NA 3165 584 785 942 NA NA NA
1491944400.0 1363.0 89 211 512 0 NA NA NA 202 466 610 0 NA NA NA 7357 735 804 906 NA NA NA 5840 600 1231 914 NA NA NA
1491944400.0 1365.0 NA 216 475 0 NA NA NA NA 479 617 0 NA NA NA NA 538 832 795 NA NA NA NA 508 936 827 NA NA NA
1491944400.0 139901.0 NA 208 508 0 NA NA NA NA 480 606 0 NA NA NA NA 510 745 847 NA NA NA NA 370 578 855 NA NA NA
1491944400.0 13992501.0 NA 307 748 0 NA NA NA NA 504 908 0 NA NA NA NA 2833 2836 1023 NA NA NA NA 1654 1347 1032 NA NA NA
1491944400.0 13992502.0 NA 306 736 0 NA NA NA NA 510 928 0 NA NA NA NA 2454 3232 1011 NA NA NA NA 1407 1653 1020 NA NA NA
1491944400.0 140.1 NA 103 396 0 NA NA NA NA 389 499 0 NA NA NA NA 230 345 129 NA NA NA NA 160 353 136 NA NA NA
1491944400.0 140.2 NA 101 397 0 NA NA NA NA 390 499 0 NA NA NA NA 257 446 171 NA NA NA NA 465 461 184 NA NA NA
1491944400.0 140.4 NA 104 397 0 NA NA NA NA 391 500 0 NA NA NA NA 236 401 129 NA NA NA NA 165 355 135 NA NA NA
1491944400.0 140.51 NA 31 375 0 NA NA NA NA 87 484 0 NA NA NA NA 418 1212 180 NA NA NA NA 263 584 191 NA NA NA
1491944400.0 140.52 NA 413 380 0 NA NA NA NA 529 478 0 NA NA NA NA 2081 1285 171 NA NA NA NA 1116 627 177 NA NA NA
1491944400.0 140.53 NA 433 0 NA NA NA NA NA 552 0 NA NA NA NA NA 2924 207 NA NA NA NA NA 1092 215 NA NA NA NA
1491944400.0 140.54 NA 328 0 NA NA NA NA NA 425 0 NA NA NA NA NA 891 201 NA NA NA NA NA 617 209 NA NA NA NA
1491944400.0 144.6 NA 355 NA NA NA NA NA NA 439 NA NA NA NA NA NA 1781 NA NA NA NA NA NA 834 NA NA NA NA NA
1491944400.0 15.0 NA 93 365 0 NA NA NA NA 378 459 0 NA NA NA NA 1443 904 321 NA NA NA NA 437 567 329 NA NA NA
1491944400.0 17.0 NA 92 365 0 NA NA NA NA 370 456 0 NA NA NA NA 1549 932 287 NA NA NA NA 463 559 293 NA NA NA
1491944400.0 18.0 NA 91 364 0 NA NA NA NA 378 467 0 NA NA NA NA 1425 837 273 NA NA NA NA 428 574 280 NA NA NA
1491944400.0 19.0 NA 94 364 0 NA NA NA NA 377 457 0 NA NA NA NA 2017 905 303 NA NA NA NA 739 552 308 NA NA NA
1491944400.0 2.0 82 89 142 NA NA NA NA 159 365 218 NA NA NA NA 5819 488 402 NA NA NA NA 2013 215 288 NA NA NA NA
1491944400.0 20.0 NA 95 368 0 NA NA NA NA 392 475 0 NA NA NA NA 1585 1280 347 NA NA NA NA 488 681 355 NA NA NA
1491944400.0 200.0 NA 126 417 0 NA NA NA NA 389 528 0 NA NA NA NA 980 1569 495 NA NA NA NA 498 1006 506 NA NA NA
